FilmID	ReviewID	SentenceID	Sentence	Annotator 1	Annotator 2	Annotator 3	Annotator 4	Annotator 5	Annotator 6	
1	1	1	prošla filmska godina, posebice kada su u pitanju horori, bila je iznimno bogata i kvalitetna.	0	0	0	0	0	0	
1	1	2	kao ljubitelj horor žanra, drago mi je da i na početku nove godine također imamo naslove koji se čine jako intrigantni.	0	0	0	0	0	0		
1	1	3	uz film „presence“, redatelja stevena soderbergha, koji nam dolazi u kina 23. siječnja, krajem mjeseca ćemo na velikom platnu gledati film „companion“, također jedan od najočekivanijih horora redatelja i scenarista drewa hancocka.	1	1	1	1	1	1		
1	1	4	prvi teaser filma, objavljen prije nekoliko mjeseci, imao je intrigantnu predigru, prije svega kroz privlačan i zavodljiv font naslova koji me podsjetio na znamenite “limenke campbellove juhe“, andyja warhola.	0	0	0	0	0	0		
1	1	5	osobno sam veliki ljubitelj kreativnosti, posebice po tom pitanju, tako da mi je upravo takav tajanstveni teaser dovoljno zaokupio pažnju, uz neizostavnu želju za daljnjim zavođenjem.	0	0	0	0	0	0		
1	1	6	žanrovski gledano film spada u znanstveno-fantastični triler s određenom dozom humora i romantike.	1	1	1	1	1	1		
1	1	7	u središtu radnje pratimo iris koja upozna šarmantnog mladića josha u lokalnoj trgovini.	1	1	1	1	1	1		
1	1	8	kemija između njih je više nego očita, pa tako ubrzo zajedno odlaze na vikend gdje će stvari neočekivano krenuti u uvrnutom smjeru.	1	1	1	1	1	1		
1	1	9	glavnu ulogu u filmu tumači sophie thatcher koju smo baš nedavno mogli gledati u horor filmu „heretic“, što je samo dodatno potvrdilo njen status moderne princeze vriska.	0	0	1	0	0	1		
1	1	10	prethodno je sophie glumila u jako hvaljenim serijama “yellowjackets” i “egzorcist”, dok je ljubiteljima horora polako prirasla srcu kroz filmove “boogeyman” i “maxxxine”.	0	0	0	0	0	0		
1	1	11	sophie svojim izgledom i karizmom baš odgovara profilu femme fatale koju će portretirati u „companion“, dok će joj društvo činiti jack quaid kao josh koji je također pokazao svojoj horor potencijal u filmu “vrisak” iz 2022. godine.	0	0	0	0	0	0		
