FilmID,ReviewID,SentenceID,Sentence,Label
7,3,2,"trump se sprijatelji s royjem cohnom, odvjetnikom s iskustvom kojeg su mnogi koji su ga znali nazivali čistim zlom.",1
9,2,28,"ako postoji još nešto što će ezekiel sims učiniti, to je da neće nositi obuću u njujorškim uličicama ili na željezničkim stanicama, što je uznemirujuće.",2
9,1,5,"upravo je 2003. godina važna jer se u nju, doduše samo radnjom, smjestio superherojski film „madame web”.",1
32,1,60,"kroz traženje odgovora u jednom gradu – gdje se rađamo i umiremo – taj  grad postaje vizualni jezik, koji svaki filmski lik pa i gledatelj, pokušava dekodirati na temelju vlastitog iskustva.",1
33,1,72,"ako je film „hladan“, onda vam se odgovor na pitanje, već sam nameće.",1
11,1,38,"za sve koji (površno) tvrde kako se recentna filmska ponuda sastoji isključivo od nastavaka, remakeova i superjunaka, “građanski rat” je izazov.",0
15,4,17,haiqi pobjegne iz svog bazena  i bježi kroz termoklimu u brazdu.,1
33,1,12,"i (djelomično) sam bio u pravu, jer simbol amerike – kip slobode na otoku ellis, pred manhattnom – je odmah na početku filma.",1
8,1,6,on je dio ekipe ronioca koji u sjevernom moru održavaju cjevovod koji opskrbljuje plinom škotsku.,1
11,1,10,floridski savez odnosno zapadne snage teksasa i kalifornije osnovale su vladu i otkazale poslušnost washingtonu – njihove postrojbe približavaju se glavnom gradu – glavni je cilj eliminirati predsjednika.,1
28,4,12,"sakupljača duša napisao je i režirao oz perkins, poznat po vizualno bogatim hororima punim simbolike poput february (2015.) i marica i ivica (2020.).",1
8,2,34,"ono služi poput dodatnog vremenskog okvira prikaza priče, koji postaje svojevrsna alatka za održavanje napetosti (a djeluje i poput štoperice).",1
38,2,7,"majka je dvoje djece, jedna kćer je lezbijka i ovaj film prati ujedno hladan odnos između njih dvije koji će itekako biti ključan u raspletu filma.",1
33,1,97,kip je restauriran i sada je zaštićen neprobojnim staklom.,1
20,4,19,možda ćete se iznenaditi koliko vam je stalo do dvojca.,1
23,1,12,"ne, nije riječ o rečenicama koje se izgovaraju tek da bi (jeftino) provocirale već je njihov razgovor intrigantan i ima smisla posebno u kontekstu događaja koji slijede.",1
10,6,26,"rook je android koji je povezan s brodom, ali je oštećen do mjere nepopravljivosti.",1
13,2,25,"no za moj ukus, film nije prespor i lijepo se razvija.",0
16,1,27,to su čak četiri nova lika u ionako nakrcanoj postavi.,2
3,1,9,"kvaka je u tome što su david i benji „tek“ treća generacija američkih židova i sa stvarnim iskustvom holokausta imaju jako malo dodirnih točaka, osim pokojne bake.",1
26,1,43,i na tome slijepčeviću svaka čast.,0
5,1,19,"vizualno je također prekrasan, odričući se sjaja i fotorealizma u korist stiliziranih tekstura koje kao da su izvučene iz ilustracija u dječjim knjigama ili povremeno, škrabanja bojicama na njihovim marginama.",0
38,1,18,kako u tvrtki u kojoj radi tako i unutar obitelji.,1
6,2,26,"također je scenarij za film briljantno napisan, sve legne na svoje mjesto na kraju filma, te je razgovor između likova pametno napravljen.",0
38,1,11,"snažna, moćna i, čini se, nedodirljiva.",1
38,1,26,“požuda” vrlo dobro funkcionira u prikazu odnosa romy i samuela – njihov je odnos divlji i neobuzdan – duboko potisnute seksualna frustracija je izašla na površinu i samy je sve teže kontrolira.,0
37,1,16,u svakom slučaju prva dva kuma su ocijenjena kao vrhunac novog hollywooda 70-ih (i među najboljim filmovima svih vremena).,1
17,5,28,"edgin je bivši član grupe harper, koji je nakon što je grupa crveni čarobnjaci ubio njegovu ženu krenuo u osvetu.",1
17,2,2,"isto tako, jasno je da toliko popularna igra ima veliku publiku i da bi kvalitetna filmska ekranizacija privukla mnoštvo gledatelja, no nažalost takvo što se u povijesti nije uspjelo ostvariti.",2
5,2,29,"iskreno, ne znamo koliko detaljno je brown ilustrirao izvorni roman, ali ono što su sanders i njegov animacijski tim napravili s divljim robotom doista je fascinantno.",0
34,1,21,"zapravo, kako minute filma prolaze tako i gledatelj počinje sve više vjerovati novom kapetanu americi.",1
28,1,6,druga je poveznica šokantna i jeziva priča filma – baš kao i ona kada je o “psihu” riječ.,1
19,1,12,nema šanse da netko napravi film u kojem će ulog biti osoban i tako običnim ljudima razumljiviji!,2
28,3,35,u svom privatnom životu prilično je ‘izgubljena’ dok je na poslu vrlo posvećena i fokusirana na to što radi.,1
12,1,76,"isto to vrijedi i kada je u pitanju kreativnost u borbi, primjerice kod stvaranja ljudskih kvadrata kao dio taktike.",0
12,3,18,"film prikazuje život napoleonea bonapartea od 1789. godine do njegove smrti – prije toga o glavnom liku filma saznajemo vrlo malo, tek nekoliko spominjanja majke koja je, čini se, bila puno važnija za napoleona i njegov život nego što film prikazuje.",1
28,4,1,reakcije publike i kritičara koje obećavaju strašan i uznemirujuć film,1
13,1,10,"dijelom i zbog toga, relativno uspješna njemačka književnica pristala je na zahtjev svog ne pretjerano uspješnog muža književnika da se iz londona presele u njegov rodni grenoble.",1
16,4,14,deseti film serijala najbolje dokazuje kako je ionako sve podređeno rušenju i destrukciji.,2
13,1,8,cijeli film izvanrednom izvedbom nosi hüller (toni erdmann) kao žena koja će se naći usred prave noćne more kad je optuže za ubojstvo supruga.,0
33,1,88,"naravno, danas je trulost još vidljivija.",2
28,2,9,"osgoodova teta marisa berenson je glumila u takvim klasicima poput viscontijeve ""smrti u veneciji"", fosseova ""cabareta"" i kubrickova ""barry lyndona"".",1
7,1,13,"okosnicu filma čini trumpov odnos sa svojim mentorom cohnom u svojevrsnoj političkoj verziji “star warsa” u kojoj palpatine objašnjava svom štićeniku darth vaderu (ili u ovom slučaju orange vaderu) sve tajne mračne strane i kako biti uspješan biznismen u obećanoj zemlji, točnije ostvariti američki san.",1
7,1,19,"iako bi tako karikaturalnu personu bilo odveć lako imitirati (koga zanima neka pogleda urnebesnog shanea gillisa) sebastian stan iznenađujuće suzdržano igra bivšeg i potencijalnog budućeg potus-a, lišivši svoj lik grotesknih i prenaglašenih manirizama.",0
26,3,1,"dostojanstveno, veličanstveno… herojski, ponosno… pridjevi su koji ponajčešće odjekuju u javnom (ustvari, zapravo, medijskom) diskursu na ovim prostorima.",0
17,5,43,"film odiše previše mračnim tonom, za priču koja nastoji da bude duhovita i avanturistička.",2
35,1,18,premalo za (barem) podnošljivu kino zabavu.,2
36,1,1,"u potrazi za novim, potencijalnim blockbusterskim uspjesima, čelnici filmske kompanije “universal”  obrisali su prašinu arhive i ponovo krenuli s projektima u kojima su glavni protagonisti likovi koji su okupljeni pod imenom “universal monsters”.",1
